episode_id,date,start,end,n_obs,length_hours
456,2025-08-12,2025-08-12 06:10:00+02:00,2025-08-12 09:55:00+02:00,46,3.8333333333333335
457,2025-08-12,2025-08-12 10:05:00+02:00,2025-08-12 14:00:00+02:00,48,4.0
458,2025-08-12,2025-08-12 15:15:00+02:00,2025-08-12 22:00:00+02:00,82,6.833333333333333
459,2025-08-13,2025-08-13 00:00:00+02:00,2025-08-13 02:50:00+02:00,35,2.9166666666666665
460,2025-08-13,2025-08-13 08:10:00+02:00,2025-08-13 20:55:00+02:00,154,12.833333333333334
461,2025-08-13,2025-08-13 21:05:00+02:00,2025-08-13 23:55:00+02:00,35,2.9166666666666665
462,2025-08-14,2025-08-14 00:00:00+02:00,2025-08-14 02:55:00+02:00,36,3.0
463,2025-08-14,2025-08-14 06:10:00+02:00,2025-08-14 18:00:00+02:00,143,11.916666666666666
464,2025-08-14,2025-08-14 21:05:00+02:00,2025-08-14 23:55:00+02:00,35,2.9166666666666665
465,2025-08-15,2025-08-15 00:00:00+02:00,2025-08-15 03:15:00+02:00,40,3.3333333333333335
466,2025-08-15,2025-08-15 04:55:00+02:00,2025-08-15 11:55:00+02:00,85,7.083333333333333
467,2025-08-15,2025-08-15 12:05:00+02:00,2025-08-15 15:00:00+02:00,36,3.0
468,2025-08-15,2025-08-15 16:05:00+02:00,2025-08-15 23:00:00+02:00,84,7.0
469,2025-08-16,2025-08-16 04:55:00+02:00,2025-08-16 17:55:00+02:00,157,13.083333333333334
470,2025-08-16,2025-08-16 18:05:00+02:00,2025-08-16 23:55:00+02:00,71,5.916666666666667
471,2025-08-17,2025-08-17 00:00:00+02:00,2025-08-17 03:20:00+02:00,41,3.4166666666666665
472,2025-08-17,2025-08-17 07:10:00+02:00,2025-08-17 23:55:00+02:00,202,16.833333333333332
473,2025-08-18,2025-08-18 04:55:00+02:00,2025-08-18 16:00:00+02:00,134,11.166666666666666
474,2025-08-18,2025-08-18 19:05:00+02:00,2025-08-18 23:40:00+02:00,56,4.666666666666667
475,2025-08-19,2025-08-19 05:10:00+02:00,2025-08-19 23:55:00+02:00,226,18.833333333333332
