code_a,code_b,lift,gemeinsame_fenster
5,35,0.8830405428101171,3
40,67,0.8825581395348837,44
21,47,0.8676452387435332,11
2,40,0.8654790038174879,115
14,57,0.865289194993705,13
28,61,0.8631796690307328,13
26,42,0.862622638826605,3
2,60,0.8559312146773856,6
35,43,0.8534935624452141,47
21,38,0.8483127485700918,71
6,25,0.8475993444208603,6
13,57,0.833737690880548,6
15,42,0.8263310714973303,4
14,44,0.8127006473571425,87
11,34,0.7993006993006992,3
21,40,0.7951344430217668,15
5,8,0.7845691132855076,35
32,33,0.7791806922832643,21
2,26,0.7749647484241196,3
32,63,0.7649099836333878,1
21,32,0.7639305854469174,12
7,37,0.7600942564295318,3
8,40,0.7506799637352675,20
18,36,0.7482460093451292,3
49,64,0.7391388288041745,15
34,49,0.7337842485383469,28
8,21,0.7324175830554082,6
32,62,0.7205673758865248,1
10,57,0.7193031058577276,4
8,42,0.7137687473881063,37
3,32,0.706237911025145,20
22,32,0.7002697033263409,3
17,64,0.6919899250962824,8
6,42,0.6763186459259934,13
26,61,0.6747516747516749,1
8,31,0.6719598712686158,41
26,32,0.6718803910293272,1
10,34,0.671681259916554,25
54,58,0.6700395055435199,1
34,60,0.6680722262811816,14
19,44,0.6673901867824299,3
33,45,0.6653211264575807,80
6,31,0.6629838434098184,15
41,62,0.6609801937256035,3
35,48,0.6588925796021992,17
57,63,0.6584389969005354,1
5,68,0.6564195185491136,3
32,45,0.6533673662659079,124
25,38,0.6511499504134165,127
26,64,0.6499094566782653,4
32,57,0.6475428432875241,32
64,68,0.6384066344361721,6
13,64,0.6245883090154757,16
40,62,0.6,1
8,14,0.5930721952994026,4
37,64,0.5893786739484268,5
45,51,0.5883368905284169,103
34,69,0.5738569123184508,7
28,47,0.573430430393,7
10,21,0.5657259062395764,1
7,14,0.5626825288654077,14
28,40,0.5505319148936171,10
14,64,0.5422650443357532,28
21,28,0.5371386928923637,3
31,37,0.5316870430482662,3
45,57,0.5306728032459274,117
40,45,0.5264942772361171,120
10,40,0.5218487394957982,3
23,42,0.5212739322779424,83
7,23,0.5186947818373902,68
45,63,0.5143444092998989,3
5,23,0.5108499007992413,70
26,38,0.50440217482546,4
34,37,0.5015220074043604,8
8,33,0.4980257371348155,7
15,61,0.48477304787984404,1
31,68,0.4799298972648067,3
36,67,0.4736957940298623,112
3,14,0.4646013007210519,4
17,42,0.4592379516055306,3
25,60,0.43117926849270133,1
8,64,0.4251220970021472,39
41,55,0.42024217023570315,74
2,67,0.41676883272808746,45
6,43,0.413981895450199,111
32,49,0.40753400767352627,2
11,48,0.40696306387194653,3
43,58,0.40627894065188697,110
8,10,0.40057292182512166,1
34,68,0.39611362089238206,7
22,38,0.3942862070818736,9
42,68,0.37660221400099564,2
36,61,0.37305712716637507,90
43,54,0.3652914216870781,91
6,32,0.3646881340061384,3
5,41,0.3646036996191549,102
7,22,0.3639887988535786,3
34,67,0.3624735729386892,117
36,57,0.3588454270838465,101
7,64,0.34867346864798554,118
42,50,0.34044840145690003,2
38,40,0.32696778773626767,89
23,64,0.32648934334899865,92
41,42,0.319924043583902,104
10,41,0.31938118604388405,5
42,62,0.30837717523269936,1
17,57,0.307903128047013,1
34,35,0.3044955044955045,4
10,64,0.30310903231633374,6
3,64,0.2988752650562335,35
32,38,0.2956059081305709,67
34,57,0.2940854017777095,112
14,23,0.2896215900598764,6
14,47,0.28741591889949075,3
55,61,0.27978123234006685,15
23,41,0.2737175949814114,61
15,38,0.2717895213865343,3
28,55,0.26117875678554114,5
38,61,0.2569912315231332,57
45,47,0.254611028622387,39
7,31,0.2532340844009683,57
8,54,0.25088514577468146,1
3,48,0.24510275437742232,105
2,64,0.24042278573718773,110
38,42,0.23224750077202225,122
5,14,0.2307166581525656,6
2,31,0.23003365978092596,70
42,45,0.20971347323741327,93
37,42,0.2086080891280025,1
3,44,0.20050145526205101,47
48,67,0.1955946508531836,124
7,36,0.19522925696438412,91
2,38,0.19507646372317144,115
5,7,0.18229394346534739,30
44,60,0.17929885615050356,4
7,34,0.17757872503510252,112
28,43,0.1744465112919937,86
42,64,0.16786916662278542,69
2,7,0.15503104084965183,33
38,41,0.14839647618473484,110
44,61,0.1426047407654765,50
2,34,0.13948894225207623,120
13,43,0.13371949430959834,27
5,36,0.1272587068170649,62
33,48,0.12391114183563745,51
44,57,0.11489867684532676,47
38,45,0.11174785358972275,112
23,44,0.10991845461174612,62
7,44,0.1048076503696173,71
2,44,0.10154618911777746,93
41,45,0.09827842431083317,61
25,43,0.09303219518633593,111
48,54,0.08567643449935716,10
32,34,0.0786073500967118,26
43,57,0.07636276281561107,122
23,55,0.06956543982387021,6
33,34,0.06680722262811815,14
31,48,0.06492379633370575,115
32,43,0.06346787801011036,88
