code_a,code_b,anteil_b_folgt_a,n_a
15,25,0.09844559585492228,193
6,7,0.09844559585492228,579
57,5,0.09728958630527818,3505
22,42,0.09686609686609686,351
48,41,0.09648354398698536,47946
51,64,0.09584335279972518,2911
69,28,0.09523809523809523,126
23,7,0.09514563106796116,5150
7,38,0.09511517077045274,5036
23,64,0.09495145631067961,5150
5,41,0.0947403910991234,5932
54,31,0.09448818897637795,508
25,2,0.09435970202199362,2819
49,23,0.09415584415584416,308
34,42,0.09368988072335514,20792
26,40,0.09345794392523364,107
26,55,0.09345794392523364,107
34,41,0.09320892651019623,20792
44,41,0.09301966237880017,25887
58,7,0.0926517571884984,626
28,42,0.09232365145228216,964
57,41,0.09215406562054208,3505
23,55,0.09203883495145632,5150
3,5,0.09202096680256261,1717
35,37,0.09174311926605505,109
6,40,0.09153713298791019,579
10,25,0.09141274238227147,361
10,47,0.09141274238227147,361
23,41,0.0912621359223301,5150
32,2,0.09124957439564181,2937
51,41,0.09103400893163861,2911
7,64,0.09054805401111994,5036
57,31,0.09044222539229672,3505
51,2,0.09000343524562006,2911
6,23,0.08981001727115717,579
25,31,0.08974813763746009,2819
38,2,0.089709591876334,15461
2,42,0.08947716743878226,7555
58,31,0.08945686900958466,626
31,64,0.08938329430132709,7686
28,23,0.08921161825726141,964
51,23,0.08897286155960152,2911
10,51,0.0886426592797784,361
51,5,0.08862933699759533,2911
68,64,0.08823529411764706,102
68,21,0.08823529411764706,102
60,57,0.08823529411764706,170
60,25,0.08823529411764706,170
7,31,0.08816521048451152,5036
44,5,0.08803646617993588,25887
48,2,0.08734826680015016,47946
57,55,0.08701854493580599,3505
62,42,0.08695652173913043,92
42,5,0.08649761874115072,7769
58,57,0.08626198083067092,626
50,49,0.08620689655172414,116
50,42,0.08620689655172414,116
50,23,0.08620689655172414,116
10,42,0.08587257617728532,361
23,5,0.0858252427184466,5150
33,2,0.0848,1875
33,41,0.0848,1875
54,42,0.08464566929133858,508
38,64,0.08440592458443827,15461
26,3,0.08411214953271028,107
32,23,0.08409942117807287,2937
28,51,0.08402489626556017,964
3,57,0.08386721025043681,1717
64,42,0.08381808566895822,11346
32,42,0.08341845420497106,2937
61,2,0.08317929759704251,2705
45,41,0.08311633471743261,14209
43,41,0.08310938588633422,70329
58,55,0.08306709265175719,626
36,5,0.08284470246734398,17225
32,41,0.08273748723186926,2937
35,23,0.08256880733944955,109
34,2,0.08224317045017314,20792
3,2,0.08211997670355271,1717
58,40,0.08146964856230032,626
48,5,0.08134150919784758,47946
49,54,0.08116883116883117,308
18,28,0.08108108108108109,37
18,7,0.08108108108108109,37
5,23,0.08091706001348618,5932
38,42,0.08091326563611669,15461
25,32,0.08087974459028024,2819
64,2,0.08082143486691346,11346
5,57,0.08074848280512474,5932
2,41,0.08074123097286565,7555
32,7,0.08069458631256383,2937
32,5,0.08069458631256383,2937
40,41,0.08051719071407581,3403
10,34,0.08033240997229917,361
61,23,0.08022181146025878,2705
67,7,0.08011869436201781,3033
7,5,0.07982525814138205,5036
45,2,0.07980857203181083,14209
36,2,0.07959361393323658,17225
47,2,0.07949006374203224,2667
69,36,0.07936507936507936,126
69,51,0.07936507936507936,126
47,55,0.07836520434945632,2667
17,40,0.0782122905027933,179
67,57,0.0781404549950544,3033
36,23,0.07796806966618287,17225
49,42,0.07792207792207792,308
44,23,0.0779155560706146,25887
33,40,0.07786666666666667,1875
43,2,0.07777730381492698,70329
